12	2020/07/05		
13	2020/07/12		
14	2020/07/19		
15	2020/07/26		
16	2020/08/02		
17	2020/08/09		
18	2020/08/16		
19	2020/08/23		
20	2020/08/29		
21	2020/09/06		
22	2020/09/13		
23	2020/09/20		
24	2020/09/27		
25	2020/10/04		
26	2020/10/11		
27	2020/10/18		
28	2020/10/25		
29	2020/11/01		
30	2020/11/08		
31	2020/11/15		
32	2020/11/22		
33	2020/12/06		
34	2020/12/13		
35	2020/12/20		
36	2020/12/27		
37	2021/01/03		
38	2021/01/10		
39	2021/01/17		
40	2021/01/24		
41	2021/01/31		
42	2021/02/07		
43	2021/02/14		
44	2021/02/21		
45	2021/02/28		
46	2021/03/07		
47	2021/03/14		
48	2021/03/21		
49	2021/03/28		
50	2021/04/04		
51	2021/04/11		
52	2021/04/18		
53	2021/04/25		
54	2021/05/02		
55	2021/05/09		
56	2021/05/16		
57	2021/05/23		
58	2021/05/30		
59	2021/06/06		
60	2021/06/13		
61	2021/06/20		
62	2021/06/27		
63	2021/07/04		
64	2021/07/11		
65	2021/07/18		
66	2021/07/25		
67	2021/08/01		
68	2021/08/08		
69	2021/08/14		
70	2021/08/22		
71	2021/08/29		
72	2021/09/05		
73	2021/09/12		
74	2021/09/19		
75	2021/09/26		
76	2021/10/01		
77	2021/10/08		
78	2021/10/15		
79	2021/10/22		
80	2021/10/29		
81	2021/11/05		
82	2021/11/12		
83	2021/11/19		
84	2021/11/26		
85	2021/12/03		
86	2021/12/10		
87	2021/12/18		
88	2021/12/24		
89	2022/01/07		
90	2022/01/14		
91	2022/01/21		
92	2022/01/28		
93	2022/02/04		
94	2022/02/11		
95	2022/02/18	2022/02/19	
96	2022/02/25	2022/02/26	
97	2022/03/04	2022/03/05	
98	2022/03/11	2022/03/12	
99	2022/03/18	2022/03/19	
100	2022/03/25	2022/03/26	
101	2022/04/01	2022/04/02	
102	2022/04/08	2022/04/09	
103	2022/04/15	2022/04/16	
104	2022/04/22	2022/04/23	
105	2022/04/29	2022/04/30	
106	2022/05/06	2022/05/07	
107	2022/05/13	2022/05/14	
108	2022/05/20	2022/05/21	
109	2022/05/27	2022/05/28	
110	2022/06/03	2022/06/04	
111	2022/06/10	2022/06/11	
112	2022/06/17	2022/06/18	
113	2022/06/24	2022/06/25	
114	2022/07/01	2022/07/02	
115	2022/07/08	2022/07/09	
116	2022/07/15	2022/07/16	
117	2022/07/22	2022/07/23	
118	2022/07/29	2022/07/30	
119	2022/08/05	2022/08/06	
120	2022/08/12	2022/08/13	
121	2022/08/19	2022/08/20	
122	2022/08/26	2022/08/27	
123	2022/09/02	2022/09/03	
124	2022/09/09	2022/09/10	
125	2022/09/16	2022/09/17	
126	2022/09/23	2022/09/24	
127	2022/09/30	2022/10/01	
128	2022/10/07	2022/10/08	
129	2022/10/14	2022/10/15	
130	2022/10/21	2022/10/22	
131	2022/10/28	2022/10/29	
132	2022/11/04	2022/11/05	
133	2022/11/11	2022/11/12	
134	2022/11/18	2022/11/19	
135	2022/11/25	2022/11/26	
136	2022/12/02	2022/12/03	
137	2022/12/09	2022/12/10	
138	2022/12/16	2022/12/17	
139	2022/12/23	2022/12/24	
140	2023/01/06	2023/01/07	
141	2023/01/13	2023/01/14	
142	2023/01/20	2023/01/21	
143	2023/01/27	2023/01/28	
144	2023/02/03	2023/02/04	
145	2023/02/10	2023/02/11	
146	2023/02/17	2023/02/18	
147	2023/02/24	2023/02/25	
148	2023/03/03	2023/03/04	
149	2023/03/10	2023/03/11	
150	2023/03/17	2023/03/18	
151	2023/03/24	2023/03/25	
152	2023/03/31	2023/04/01	
153	2023/04/07	2023/04/08	
154	2023/04/14	2023/04/15	
155	2023/04/21	2023/04/22	
156	2023/04/28	2023/04/29	
157	2023/05/05	2023/05/06	
158	2023/05/12	2023/05/13	
159	2023/05/19	2023/05/20	
160	2023/05/26	2023/05/27	
161	2023/06/02	2023/06/03	2023/06/04
162	2023/06/09	2023/06/10	
163	2023/06/16	2023/06/17	
164	2023/06/23	2023/06/24	
165	2023/06/30	2023/07/01	
166	2023/07/07	2023/07/08	
167	2023/07/14	2023/07/15	
168	2023/07/21	2023/07/22	
169	2023/07/28	2023/07/29	
170	2023/08/04	2023/08/05	
171	2023/08/11	2023/08/12	
172	2023/08/18	2023/08/19	
173	2023/08/25	2023/08/26	
174	2023/09/01	2023/09/02	
175	2023/09/08	2023/09/09	
176	2023/09/15	2023/09/16	
177	2023/09/22	2023/09/23	
178	2023/09/29	2023/09/30	
179	2023/10/06	2023/10/07	
180	2023/10/13	2023/10/14	
181	2023/10/20	2023/10/21	
182	2023/10/27	2023/10/28	
183	2023/11/03	2023/11/04	
184	2023/11/10	2023/11/11	
185	2023/11/17	2023/11/18	
186	2023/11/24	2023/11/25	
187	2023/12/01	2023/12/02	
188	2023/12/08	2023/12/09	
189	2023/12/15	2023/12/16	
190	2023/12/22	2023/12/23	
191	2024/01/05	2024/01/06	
192	2024/01/12	2024/01/13	
193	2024/01/19	2024/01/20	
194	2024/01/26	2024/01/27	
195	2024/02/02	2024/02/03	
196	2024/02/09	2024/02/10	
197	2024/02/16	2024/02/17	
198	2024/02/23	2024/02/24	
199	2024/03/01	2024/03/02	
200	2024/03/08	2024/03/09	
201	2024/03/15	2024/03/16	
202	2024/03/22	2024/03/23	2024/03/24
203	2024/03/29	2024/03/30	
204	2024/04/05	2024/04/06	
205	2024/04/12	2024/04/13	
206	2024/04/19	2024/04/20	
207	2024/04/26	2024/04/27	
208	2024/05/03	2024/05/04	
209	2024/05/17	2024/05/18	
210	2024/05/31	2024/06/01	
211	2024/06/07	2024/06/08	
212	2024/08/09	2024/08/10	
213	2024/08/16	2024/08/17	
214	2024/08/23	2024/08/24	
215	2024/08/30	2024/08/31	
216	2024/09/06	2024/09/07	
217	2024/09/13	2024/09/14	2024/09/15
218	2024/09/20	2024/09/21	
219	2024/09/27	2024/09/28	
220	2024/10/04	2024/10/05	
221	2024/10/11	2024/10/12	
222	2024/10/18	2024/10/19	
223	2024/10/25	2024/10/26	
224	2024/11/01	2024/11/02	
225	2024/11/08	2024/11/09	
226	2024/11/15	2024/11/16	
227	2024/11/22	2024/11/23	
228	2024/11/29	2024/11/30	
229	2024/12/06	2024/12/07	
230	2024/12/13	2024/12/14	
231	2024/12/20	2024/12/21	
232	2025/01/10	2025/01/11	
233	2025/01/17	2025/01/18	
234	2025/01/24	2025/01/25	
235	2025/01/31	2025/02/01	
236	2025/02/07	2025/02/08	
237	2025/02/14	2025/02/15	
238	2025/02/21	2025/02/22	
239	2025/02/28	2025/03/01	
240	2025/03/07	2025/03/08	
241	2025/03/14	2025/03/15	
242	2025/03/21	2025/03/22	
243	2025/03/28	2025/03/29	
244	2025/04/04	2025/04/05	
245	2025/04/11	2025/04/12	
246	2025/04/18	2025/04/19	
247	2025/04/25	2025/04/26	
248	2025/05/02	2025/05/03	
249	2025/05/09	2025/05/10	
250	2025/05/16	2025/05/17	
251	2025/05/23	2025/05/24	
252	2025/05/30	2025/05/31	
253	2025/06/06	2025/06/07	
254	2025/06/13	2025/06/14	
255	2025/06/20	2025/06/21	
256	2025/06/27	2025/06/28	
257	2025/07/04	2025/07/05	
258	2025/07/11	2025/07/12	
259	2025/07/18	2025/07/19	
260	2025/07/25	2025/07/26	
261	2025/08/01	2025/08/02	
262	2025/08/08	2025/08/09	
263	2025/08/15	2025/08/16	
264	2025/08/22	2025/08/23	
265	2025/08/29	2025/08/30	
266	2025/09/05	2025/09/06	
267	2025/09/12	2025/09/13	
268	2025/09/19	2025/09/20	
269	2025/09/26	2025/09/27	
270	2025/10/03	2025/10/04	
271	2025/10/10	2025/10/11	
272	2025/10/17	2025/10/18	
273	2025/10/24	2025/10/25	
274	2025/10/31	2025/11/01	
275	2025/11/07	2025/11/08	
276	2025/11/14	2025/11/15	
277	2025/11/21	2025/11/22	
278	2025/11/28	2025/11/29	
279	2025/12/05	2025/12/06	
280	2025/12/12	2025/12/13	
281	2025/12/19	2025/12/20	
282	2025/12/26	2025/12/27	
283	2026/01/09	2026/01/10	
284	2026/01/16	2026/01/17	
285	2026/01/23	2026/01/24	
286	2026/01/30	2026/01/31	
287	2026/02/06	2026/02/07	
288	2026/02/13	2026/02/14	
289	2026/03/06	2026/03/07	
290	2026/03/13	2026/03/14	
291	2026/03/20	2026/03/21	
292	2026/03/27	2026/03/28	
293	2026/04/03	2026/04/04	
294	2026/04/10	2026/04/11	
295	2026/04/17	2026/04/18	
296	2026/04/24	2026/04/25	
297	2026/05/01	2026/05/02	
298	2026/05/08	2026/05/09	
299	2026/05/15	2026/05/16	
300	2026/05/22	2026/05/23	
301	2026/05/29	2026/05/30	
302	2026/06/05	2026/06/06	
303	2026/06/12	2026/06/13	
304	2026/06/19	2026/06/20	
305	2026/06/26	2026/06/27	
306	2026/07/03	2026/07/04	
307	2026/07/10	2026/07/11	
308	2026/07/17	2026/07/18	
309	2026/07/24	2026/07/25	
310	2026/07/31	2026/08/01	
311	2026/08/07	2026/08/08	
312	2026/08/14	2026/08/15	
313	2026/08/21	2026/08/22	
314	2026/08/28	2026/08/29	
315	2026/09/04	2026/09/05	
316	2026/09/11	2026/09/12	
317	2026/09/18	2026/09/19	
318	2026/09/25	2026/09/26	
319	2026/10/02	2026/10/03	
320	2026/10/09	2026/10/10	
321	2026/10/16	2026/10/17	
322	2026/10/23	2026/10/24	
323	2026/10/30	2026/10/31	
324	2026/11/06	2026/11/07	
325	2026/11/13	2026/11/14	
326	2026/11/20	2026/11/21	
327	2026/11/27	2026/11/28	
328	2026/12/04	2026/12/05	
329	2026/12/11	2026/12/12	
330	2026/12/18	2026/12/19	
331	2026/12/25	2026/12/26	
332	2027/01/01	2027/01/02	
333	2027/01/08	2027/01/09	
334	2027/01/15	2027/01/16	
335	2027/01/22	2027/01/23	
